Title,Genre,,,,Date_of_film,Language
El Camino: A Breaking Bad Movie,Crime drama,,,,2019,English
Extremis,Documentary,,,,2016,English
Father Soldier Son,Documentary,,,,2020,English
Get Me Roger Stone,Documentary,,,,2017,English
I'm No Longer Here,Drama,,,,2020,Spanish
Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,,,,2020,Spanish/English
Octonauts & the Great Barrier Reef,Animation,,,,2020,English
Okja,Action-adventure,,,,2017,English/Korean
On My Skin,Crime drama,,,,2018,Italian
Raat Akeli Hai,Thriller,,,,2020,Hindi
ReMastered: Massacre at the Stadium,Documentary,,,,2019,English/Spanish
ReMastered: The Two Killings of Sam Cooke,Documentary,,,,2019,English
Secrets of the Saqqara Tomb,Documentary,,,,2020,English/Arabic
Sitara: Let Girls Dream,Animation / Short,,,,2020,English
Sky Ladder: The Art of Cai Guo-Qiang,Documentary,,,,2016,English/Mandarin
Team Foxcatcher,Documentary,,,,2016,English/Russian
The Ballad of Buster Scruggs,Western,,,,2018,English
The Death and Life of Marsha P. Johnson,Documentary,,,,2017,English
The Fundamentals of Caring,Comedy-drama,,,,2016,English
The Other One: The Long Strange Trip of Bob Weir,Documentary,,,,2015,English
American Factory,Documentary,,,,2019,English
Fire in Paradise,Documentary,,,,2019,English
Long Shot,Documentary,,,,2017,English
Miss Americana,Documentary,,,,2020,English
Period. End of Sentence.,Documentary,,,,2019,English/Hindi
Shawn Mendes: Live in Concert,Concert Film,,,,2020,English
Shirkers,Documentary,,,,2018,English
The Black Godfather,Documentary,,,,2019,English
The Irishman: In Conversation,Aftershow / Interview,,,,2019,English
The Speed Cubers,Documentary,,,,2020,English
They'll Love Me When I'm Dead,Documentary,,,,2018,English
Tig,Documentary,,,,2015,English
"Barbra: The Music, The Mem'ries, The Magic!",Concert Film,,,,2017,English
Blackpink: Light Up the Sky,Documentary,,,,2020,Korean
City of Joy,Documentary,,,,2018,English
Dick Johnson Is Dead,Documentary,,,,2020,English
Homecoming: A Film by Beyonce ,Documentary,,,,2019,English
Invader Zim: Enter the Florpus,Animation / Science Fiction,,,,2019,English
Joan Didion: The Center Will Not Hold,Documentary,,,,2017,English
John Mulaney & the Sack Lunch Bunch,Variety show,,,,2019,English
Reversing Roe,Documentary,,,,2018,English
The White Helmets,Documentary,,,,2016,English
Athlete A,Documentary,,,,2020,English
Ludo,Anthology/Dark comedy,,,,2020,Hindi
Quincy,Documentary,,,,2018,English
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,,,,2019,English
Tell Me Who I Am,Documentary,,,,2019,English
The Bleeding Edge,Documentary,,,,2018,English
The Social Dilemma,Documentary,,,,2020,English
The Two Popes,Drama,,,,2019,English
"What Happened, Miss Simone?",Documentary,,,,2015,English
Yeh Ballet,Drama,,,,2020,Hindi
Anima,Musical / Short,,,,2019,English
Beasts of No Nation,War drama,,,,2015,English/Akan
Brene Brown: The Call to Courage,Documentary,,,,2019,English
Crip Camp: A Disability Revolution,Documentary,,,,2020,English
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary,,,,2017,English
Justin Timberlake + The Tennessee Kids,Concert Film,,,,2016,English
Road to Roma,Making-of,,,,2020,Spanish
Roma,Drama,,,,2018,Spanish
